layer,lag,reuse_prob,jaccard,domain,chance_reuse
0,1,0.11815539442430303,0.07146138855102475,code,0.11951335546875
1,1,0.2535160645080635,0.1596325165021252,code,0.1410322421875
2,1,0.3707807225903238,0.24941282828518735,code,0.2514787929687501
3,1,0.3647018377297162,0.24108818353098888,code,0.1773763203125
4,1,0.5004219277409676,0.3607562361656623,code,0.3296226796875
5,1,0.486123265408176,0.34997614240019537,code,0.29381306640625005
6,1,0.5857763470433804,0.4388780809833441,code,0.41757045703124995
7,1,0.5327072134016753,0.38529974699495884,code,0.3135943046875
8,1,0.5376297037129641,0.3904308856677902,code,0.35664510156249996
9,1,0.5173302912864108,0.3720855161285215,code,0.27339626953125
10,1,0.46954306788348543,0.328502531902957,code,0.21932510546875
11,1,0.4444618077259657,0.30618835957003226,code,0.20390545703125
12,1,0.46579259907488435,0.328012169242323,code,0.22282409765625005
13,1,0.4209901237654707,0.2912498899747306,code,0.19430861328125001
14,1,0.4667927240905113,0.32683838227031126,code,0.24944845312500002
15,1,0.4725278159769971,0.33105322258966463,code,0.23886984765625
16,1,0.4879828728591074,0.34572813110130274,code,0.2617144765625001
17,1,0.4926397049631204,0.34722000922776014,code,0.32966190234375004
18,1,0.5531003875484436,0.40539500782031096,code,0.39074381640625
19,1,0.5498499812476559,0.4026171020295285,code,0.3235255546875
20,1,0.5326759594949368,0.3861551402994083,code,0.3427318906250001
21,1,0.5332854106763345,0.3872086352896454,code,0.29942129296875
22,1,0.4685273159144893,0.33196103669912896,code,0.2269456875
23,1,0.4523221652706588,0.3176471234728517,code,0.22650634375
24,1,0.4679334916864608,0.3339679309175496,code,0.2398827421875
25,1,0.45571321415176896,0.3240231619028968,code,0.2230914765625
26,1,0.4863264158019752,0.34698008579743794,code,0.27049874218750003
27,1,0.4896080760095012,0.3493278567912897,code,0.25014665234375
28,1,0.5131735216902112,0.3727255256446405,code,0.27300704687500005
29,1,0.5156269533691712,0.36915068929070677,code,0.3358510742187499
30,1,0.6131235154394299,0.4689900062571646,code,0.438634640625
31,1,0.5765720715089386,0.43254768317901204,code,0.32294503906250005
32,1,0.5627578447305913,0.41975210826317205,code,0.35598559375
33,1,0.5557725965745718,0.41490167678441203,code,0.31657068749999995
34,1,0.5011407675959495,0.3657313141498664,code,0.25105179296875
35,1,0.48710776347043383,0.35293080743762073,code,0.24679302734375
36,1,0.4827322165270659,0.3521158842824051,code,0.24267796093750002
37,1,0.47690336292036506,0.34396673599073896,code,0.23316130078125
38,1,0.48077884735591947,0.3493547082995763,code,0.25778259765625006
39,1,0.47368421052631576,0.3390533873344224,code,0.24094796484375
40,1,0.4753094136767096,0.3493760507387211,code,0.25237268359375
41,1,0.5014533066633329,0.3597147029326051,code,0.33537607031250005
42,1,0.4660270033754219,0.3334345087064177,code,0.3164209453125
43,1,0.4705431928991124,0.33392119680405713,code,0.32348298828125
44,1,0.47057444680585075,0.3372996743918109,code,0.31443437109375005
45,1,0.4852325290661333,0.35968368562442815,code,0.36303586718749997
46,1,0.39642455306913366,0.27787731153151835,code,0.27113601171875
47,1,0.2760032504063008,0.1906531578740605,code,0.188435546875
0,2,0.11490372593148288,0.07272103573678967,code,0.11951335546875
1,2,0.17634096024006002,0.1098147996872678,code,0.1410322421875
2,2,0.2915103775943986,0.18896517613696912,code,0.2514787929687501
3,2,0.25490747686921733,0.16088071301874754,code,0.1773763203125
4,2,0.4188390847711928,0.28852018754494374,code,0.3296226796875
5,2,0.40314766191547885,0.2804338280707373,code,0.29381306640625005
6,2,0.5283508377094274,0.38421174002569347,code,0.41757045703124995
7,2,0.47150850212553136,0.33003129237187745,code,0.3135943046875
8,2,0.47389972493123284,0.3321647067333488,code,0.35664510156249996
9,2,0.4384377344336084,0.30273477182704495,code,0.27339626953125
10,2,0.3867685671417854,0.2585992679766123,code,0.21932510546875
11,2,0.3610590147536884,0.23725622547828104,code,0.20390545703125
12,2,0.37818829707426854,0.25289306842195064,code,0.22282409765625005
13,2,0.32945736434108525,0.21772257361154587,code,0.19430861328125001
14,2,0.3945048762190548,0.26629721588461275,code,0.24944845312500002
15,2,0.40639847461865464,0.2741651585612576,code,0.23886984765625
16,2,0.4249187296824206,0.2896058374678029,code,0.2617144765625001
17,2,0.4330926481620405,0.29406530509306206,code,0.32966190234375004
18,2,0.5056107776944236,0.36027410115932246,code,0.39074381640625
19,2,0.5050793948487122,0.36013858331937854,code,0.3235255546875
20,2,0.4778850962740685,0.3354368950768051,code,0.3427318906250001
21,2,0.46349087271817957,0.3232012826161363,code,0.29942129296875
22,2,0.3990685171292823,0.2713169218045437,code,0.2269456875
23,2,0.38493998499624904,0.2604225370917044,code,0.22650634375
24,2,0.39603650912728183,0.2709812901110725,code,0.2398827421875
25,2,0.37487496874218557,0.25379146151839327,code,0.2230914765625
26,2,0.4163228307076769,0.2859141025682661,code,0.27049874218750003
27,2,0.42068329582395597,0.2876099338965056,code,0.25014665234375
28,2,0.4476744186046512,0.31311252444035637,code,0.27300704687500005
29,2,0.4529257314328582,0.31143026349327924,code,0.3358510742187499
30,2,0.5673293323330832,0.42085245198523513,code,0.438634640625
31,2,0.5249281070267567,0.38047993794430396,code,0.32294503906250005
32,2,0.5055638909727432,0.36340698838823365,code,0.35598559375
33,2,0.49010690172543137,0.3507236199659305,code,0.31657068749999995
34,2,0.4327488122030508,0.30313011985930216,code,0.25105179296875
35,2,0.41597899474868716,0.2888567019099652,code,0.24679302734375
36,2,0.4095086271567892,0.2835171635621748,code,0.24267796093750002
37,2,0.39114466116529134,0.2671818776094845,code,0.23316130078125
38,2,0.4070705176294073,0.28584973138611547,code,0.25778259765625006
39,2,0.3933483370842711,0.270278639145856,code,0.24094796484375
40,2,0.4105401350337584,0.2941264842240086,code,0.25237268359375
41,2,0.4386721680420105,0.30271081478883427,code,0.33537607031250005
42,2,0.39931857964491124,0.2774668858689864,code,0.3164209453125
43,2,0.40492935733933483,0.2790825189924965,code,0.32348298828125
44,2,0.41216554138534633,0.287005356622761,code,0.31443437109375005
45,2,0.4265128782195549,0.30666143336810997,code,0.36303586718749997
46,2,0.347915103775944,0.2387702098129705,code,0.27113601171875
47,2,0.2495467616904226,0.1722954298348147,code,0.188435546875
0,4,0.14887131065532766,0.1023550125601151,code,0.11951335546875
1,4,0.19295585292646322,0.12750354253605878,code,0.1410322421875
2,4,0.3075756628314157,0.20617345524799255,code,0.2514787929687501
3,4,0.24856178089044523,0.16034216464431572,code,0.1773763203125
4,4,0.4081415707853927,0.28375538085393015,code,0.3296226796875
5,4,0.39264944972486243,0.2733720978593415,code,0.29381306640625005
6,4,0.5205415207603802,0.3784024601933556,code,0.41757045703124995
7,4,0.45860430215107556,0.3212955156677017,code,0.3135943046875
8,4,0.4581353176588294,0.32012421184507234,code,0.35664510156249996
9,4,0.41211230615307654,0.28207307949679133,code,0.27339626953125
10,4,0.3564751125562781,0.2363216684377265,code,0.21932510546875
11,4,0.33391695847923963,0.21876836409102543,code,0.20390545703125
12,4,0.34140507753876936,0.22580356389761091,code,0.22282409765625005
13,4,0.309435967983992,0.20526962615506888,code,0.19430861328125001
14,4,0.3810186343171586,0.25660021430406627,code,0.24944845312500002
15,4,0.37487493746873435,0.25027553181630224,code,0.23886984765625
16,4,0.4016852176088044,0.2723294270067657,code,0.2617144765625001
17,4,0.4251344422211106,0.29075079220151756,code,0.32966190234375004
18,4,0.4938875687843922,0.3502609085650606,code,0.39074381640625
19,4,0.48460167583791897,0.34210703697947326,code,0.3235255546875
20,4,0.4627157328664332,0.322825651364921,code,0.3427318906250001
21,4,0.44151763381690845,0.3051096949296049,code,0.29942129296875
22,4,0.37363994497248626,0.2518883873060962,code,0.2269456875
23,4,0.35766320660330164,0.24038075481297094,code,0.22650634375
24,4,0.36743371685842924,0.2490307674649846,code,0.2398827421875
25,4,0.3539894947473737,0.23944185712569907,code,0.2230914765625
26,4,0.40451475737868936,0.27795173533042467,code,0.27049874218750003
27,4,0.39471298149074535,0.2676707345791888,code,0.25014665234375
28,4,0.4208197848924462,0.2907116978402622,code,0.27300704687500005
29,4,0.4435655327663832,0.3049242514475131,code,0.3358510742187499
30,4,0.5498374187093547,0.40435209557270585,code,0.438634640625
31,4,0.5003282891445723,0.3588606435529897,code,0.32294503906250005
32,4,0.48641508254127064,0.3464875627957169,code,0.35598559375
33,4,0.4609023261630815,0.32503962881651727,code,0.31657068749999995
34,4,0.4013569284642321,0.2776824781577158,code,0.25105179296875
35,4,0.3809561030515258,0.2611861736173892,code,0.24679302734375
36,4,0.369794272136068,0.25252614652314503,code,0.24267796093750002
37,4,0.3593046523261631,0.24552623742218538,code,0.23316130078125
38,4,0.3837543771885943,0.268723811345122,code,0.25778259765625006
39,4,0.3671210605302651,0.25113406409054234,code,0.24094796484375
40,4,0.38469234617308656,0.27267571514695077,code,0.25237268359375
41,4,0.42710417708854426,0.2951165809344899,code,0.33537607031250005
42,4,0.39919959979989994,0.2780569105731687,code,0.3164209453125
43,4,0.403951975987994,0.27873308393568524,code,0.32348298828125
44,4,0.4055308904452226,0.28284594622763704,code,0.31443437109375005
45,4,0.42541583291645824,0.3056344272702452,code,0.36303586718749997
46,4,0.3502845172586293,0.2420777543839075,code,0.27113601171875
47,4,0.26991620810405204,0.19359042658192235,code,0.188435546875
0,8,0.14342467467467468,0.09639074361296585,code,0.11951335546875
1,8,0.18232294794794796,0.11846084346084346,code,0.1410322421875
2,8,0.2982513763763764,0.19758898647787537,code,0.2514787929687501
3,8,0.23750312812812813,0.1514155847489181,code,0.1773763203125
4,8,0.392627002002002,0.270130539574984,code,0.3296226796875
5,8,0.3699637137137137,0.25489126878015766,code,0.29381306640625005
6,8,0.5088213213213213,0.3662339523450634,code,0.41757045703124995
7,8,0.43313626126126126,0.29815385648718984,code,0.3135943046875
8,8,0.4401901901901902,0.30329191718080606,code,0.35664510156249996
9,8,0.3869963713713714,0.2603547770214437,code,0.27339626953125
10,8,0.3256694194194194,0.2107873107873108,code,0.21932510546875
11,8,0.3009572072072072,0.19321894877450435,code,0.20390545703125
12,8,0.3104510760760761,0.20092730648286206,code,0.22282409765625005
13,8,0.27841904404404405,0.1816144816144816,code,0.19430861328125001
14,8,0.3533377127127127,0.23469638747416527,code,0.24944845312500002
15,8,0.34428178178178176,0.2255588116699228,code,0.23886984765625
16,8,0.36863425925925924,0.24558192335970117,code,0.2617144765625001
17,8,0.41092655155155156,0.2778928806706584,code,0.32966190234375004
18,8,0.47761824324324326,0.3341115174448508,code,0.39074381640625
19,8,0.46285347847847846,0.32113979058423503,code,0.3235255546875
20,8,0.4436936936936937,0.30552039163150274,code,0.3427318906250001
21,8,0.4180586836836837,0.28463060963060965,code,0.29942129296875
22,8,0.34495432932932935,0.22788956122289458,code,0.2269456875
23,8,0.3301582832832833,0.21784379006601226,code,0.22650634375
24,8,0.3388544794794795,0.2252135252135252,code,0.2398827421875
25,8,0.3270457957957958,0.21843834343834345,code,0.2230914765625
26,8,0.38242930430430433,0.2601823101823102,code,0.27049874218750003
27,8,0.36793043043043044,0.24497999220221445,code,0.25014665234375
28,8,0.3934872372372372,0.2678177428177428,code,0.27300704687500005
29,8,0.4298048048048048,0.29317084317084313,code,0.3358510742187499
30,8,0.533470970970971,0.38749816527594294,code,0.438634640625
31,8,0.4704861111111111,0.3296472157583269,code,0.32294503906250005
32,8,0.467357982982983,0.3288603399714511,code,0.35598559375
33,8,0.44083145645645644,0.3079729635285191,code,0.31657068749999995
34,8,0.3711054804804805,0.25212364656809105,code,0.25105179296875
35,8,0.3517267267267267,0.2371344788011455,code,0.24679302734375
36,8,0.34306181181181183,0.23030734697401367,code,0.24267796093750002
37,8,0.33453766266266266,0.22684539073427962,code,0.23316130078125
38,8,0.36355105105105107,0.25223773557106893,code,0.25778259765625006
39,8,0.34371871871871873,0.23149724816391487,code,0.24094796484375
40,8,0.35709146646646645,0.2503278197722642,code,0.25237268359375
41,8,0.4136011011011011,0.283061627506072,code,0.33537607031250005
42,8,0.3825387887887888,0.2621584843807066,code,0.3164209453125
43,8,0.3901244994994995,0.2651934513045624,code,0.32348298828125
44,8,0.3838995245245245,0.26316402149735485,code,0.31443437109375005
45,8,0.41511824324324326,0.29488043099154215,code,0.36303586718749997
46,8,0.3354291791791792,0.22839663672997007,code,0.27113601171875
47,8,0.25,0.17683547683547685,code,0.188435546875
0,16,0.1456506763527054,0.09803173335237464,code,0.11951335546875
1,16,0.1800945641282565,0.11711705128538795,code,0.1410322421875
2,16,0.29864416332665333,0.19714714421628252,code,0.2514787929687501
3,16,0.23060182865731463,0.1467609155484907,code,0.1773763203125
4,16,0.382749874749499,0.2613595600569548,code,0.3296226796875
5,16,0.3590931863727455,0.24593535222292737,code,0.29381306640625005
6,16,0.49456725951903807,0.3529676346810615,code,0.41757045703124995
7,16,0.4125438376753507,0.28113812262108856,code,0.3135943046875
8,16,0.4277461172344689,0.29321104190843666,code,0.35664510156249996
9,16,0.3684869739478958,0.24569551746405452,code,0.27339626953125
10,16,0.3081632014028056,0.19794754899965325,code,0.21932510546875
11,16,0.28355147795591185,0.18127041629045637,code,0.20390545703125
12,16,0.29480836673346694,0.18982546622827187,code,0.22282409765625005
13,16,0.26092810621242485,0.16969976972481982,code,0.19430861328125001
14,16,0.33297845691382766,0.2196208573212581,code,0.24944845312500002
15,16,0.3221129759519038,0.20953193989266136,code,0.23886984765625
16,16,0.3451747244488978,0.22781943340560576,code,0.2617144765625001
17,16,0.3934744488977956,0.2638141946007677,code,0.32966190234375004
18,16,0.4615950651302605,0.3200372551073954,code,0.39074381640625
19,16,0.43843937875751504,0.30041569708403376,code,0.3235255546875
20,16,0.42560120240480964,0.2907025978919766,code,0.3427318906250001
21,16,0.39860971943887774,0.2687662815919329,code,0.29942129296875
22,16,0.3231776052104208,0.2109754724233682,code,0.2269456875
23,16,0.3086485470941884,0.2014607775880321,code,0.22650634375
24,16,0.3184807114228457,0.20974809814990178,code,0.2398827421875
25,16,0.30470315631262523,0.2022029518021502,code,0.2230914765625
26,16,0.36144163326653306,0.24328970406124714,code,0.27049874218750003
27,16,0.34475200400801603,0.22715598529726785,code,0.25014665234375
28,16,0.37204095691382766,0.25131359677952864,code,0.27300704687500005
29,16,0.4155185370741483,0.2811497565004579,code,0.3358510742187499
30,16,0.5198678607214429,0.37436310905749776,code,0.438634640625
31,16,0.4454690631262525,0.30820033340073427,code,0.32294503906250005
32,16,0.4462831913827655,0.3102486274580463,code,0.35598559375
33,16,0.41965180360721444,0.29028845514316454,code,0.31657068749999995
34,16,0.3479302354709419,0.23457745772375033,code,0.25105179296875
35,16,0.3326183617234469,0.22321044853609984,code,0.24679302734375
36,16,0.3253538326653307,0.2174419490551755,code,0.24267796093750002
37,16,0.31672720440881763,0.2145365823221535,code,0.23316130078125
38,16,0.3432959669338677,0.23745352009380066,code,0.25778259765625006
39,16,0.3246806112224449,0.21793395315439404,code,0.24094796484375
40,16,0.33740919338677355,0.23593895805819654,code,0.25237268359375
41,16,0.4013495741482966,0.2731744346724307,code,0.33537607031250005
42,16,0.3771762274549098,0.2584767492583124,code,0.3164209453125
43,16,0.38038577154308617,0.2571455098008204,code,0.32348298828125
44,16,0.3731212424849699,0.25462603250679405,code,0.31443437109375005
45,16,0.4077999749498998,0.28820244829763864,code,0.36303586718749997
46,16,0.3261836172344689,0.22128570049411733,code,0.27113601171875
47,16,0.24096630761523047,0.17097218635294786,code,0.188435546875
0,32,0.12716490963855423,0.08303114779018393,code,0.11951335546875
1,32,0.16042294176706828,0.10166860415354391,code,0.1410322421875
2,32,0.2760730421686747,0.17842742375874907,code,0.2514787929687501
3,32,0.21351029116465864,0.13364307490813512,code,0.1773763203125
4,32,0.3625909889558233,0.2437383678347534,code,0.3296226796875
5,32,0.3390279869477912,0.22890093228948652,code,0.29381306640625005
6,32,0.4728288152610442,0.33213565495192,code,0.41757045703124995
7,32,0.3919113955823293,0.26307002624773707,code,0.3135943046875
8,32,0.4031438253012048,0.2722949768883504,code,0.35664510156249996
9,32,0.33979668674698793,0.22332137407438613,code,0.27339626953125
10,32,0.28313253012048195,0.17855772351254282,code,0.21932510546875
11,32,0.2584086345381526,0.16198124164991637,code,0.20390545703125
12,32,0.26907630522088355,0.17011276318505236,code,0.22282409765625005
13,32,0.2370105421686747,0.15165655128004527,code,0.19430861328125001
14,32,0.31105672690763053,0.2025904650904651,code,0.24944845312500002
15,32,0.29604354919678716,0.18918668067764455,code,0.23886984765625
16,32,0.32537964357429716,0.21167921213101934,code,0.2617144765625001
17,32,0.3777610441767068,0.2503711148289462,code,0.32966190234375004
18,32,0.43870795682730923,0.29991099652244224,code,0.39074381640625
19,32,0.41018762550200805,0.2754673873649777,code,0.3235255546875
20,32,0.39981802208835343,0.26867853532010155,code,0.3427318906250001
21,32,0.3718624497991968,0.24694313662687162,code,0.29942129296875
22,32,0.2964357429718876,0.19034497129376649,code,0.2269456875
23,32,0.28371297690763053,0.18200613531938833,code,0.22650634375
24,32,0.29359626004016065,0.190231460863991,code,0.2398827421875
25,32,0.2784262048192771,0.18162765391681054,code,0.2230914765625
26,32,0.33822791164658633,0.2249525937025937,code,0.27049874218750003
27,32,0.31479041164658633,0.20331262612889123,code,0.25014665234375
28,32,0.34881714357429716,0.23243964313241422,code,0.27300704687500005
29,32,0.3936056726907631,0.2624741891308156,code,0.3358510742187499
30,32,0.49016378012048195,0.3467923781929806,code,0.438634640625
31,32,0.416023468875502,0.28269737012206897,code,0.32294503906250005
32,32,0.4204631024096386,0.28828441471513766,code,0.35598559375
33,32,0.39200552208835343,0.26735104754683064,code,0.31657068749999995
34,32,0.32288529116465864,0.213703615661447,code,0.25105179296875
35,32,0.30710341365461846,0.20269711881157665,code,0.24679302734375
36,32,0.2983496485943775,0.19614949419166286,code,0.24267796093750002
37,32,0.291980421686747,0.19501241730157393,code,0.23316130078125
38,32,0.3221009036144578,0.2199724388730413,code,0.25778259765625006
39,32,0.29955760542168675,0.19794429410393266,code,0.24094796484375
40,32,0.31480609939759036,0.21744762098677764,code,0.25237268359375
41,32,0.38060052710843373,0.2553859711239229,code,0.33537607031250005
42,32,0.35546875,0.24021277417361758,code,0.3164209453125
