domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
trace_prose,4,lru,0.125,2,1.5917308369620902,0.0,54.99502888572864
trace_prose,4,lfu,0.125,2,1.5605208600153688,0.0,55.18446541043026
trace_prose,4,static,0.125,2,1.5039102523053278,0.0,55.53142867811036
trace_prose,4,belady,0.125,2,1.4104584240522542,0.0,56.11383569787338
trace_prose,4,lru,0.25,4,1.3166704021516393,0.0,56.710751019793015
trace_prose,4,lfu,0.25,4,1.1631879962858607,0.0,57.71547382030303
trace_prose,4,static,0.25,4,1.1763996061731556,0.0,57.62759009442763
trace_prose,4,belady,0.25,4,0.9054075147284836,0.0,59.485515618828536
trace_prose,4,lru,0.5,8,0.7241751248719263,0.0,60.79637074943566
trace_prose,4,lfu,0.5,8,0.6028052158043032,0.0,61.707024503657514
trace_prose,4,static,0.5,8,0.6254202420594263,0.0,61.53527880464095
trace_prose,4,belady,0.5,8,0.37149598168545084,0.0,63.520327160598974
