domain,layer,policy,cap_frac,capacity,demand_miss_per_tok,prefetch_per_tok,est_tok_per_s
trace_code,4,lru,0.125,2,1.266329405737705,0.0,57.036414770444495
trace_code,4,lfu,0.125,2,1.498196961449795,0.0,55.56668765332735
trace_code,4,static,0.125,2,1.5040803502817623,0.0,55.5303796222069
trace_code,4,belady,0.125,2,1.1253762167008197,0.0,57.96848594637284
trace_code,4,lru,0.25,4,0.8993340163934426,0.0,59.52852916958921
trace_code,4,lfu,0.25,4,0.9998439100922131,0.0,58.82460963857577
trace_code,4,static,0.25,4,1.094820616675205,0.0,58.1745707443768
trace_code,4,belady,0.25,4,0.6563880795338115,0.0,61.301644198932976
trace_code,4,lru,0.5,8,0.5187868212090164,0.0,62.35357182429917
trace_code,4,lfu,0.5,8,0.4775610751793033,0.0,62.67579718764635
trace_code,4,static,0.5,8,0.5937680103739754,0.0,61.77592431104252
trace_code,4,belady,0.5,8,0.27295722336065575,0.0,64.32558235330464
