domain,layer,lag,pred_m,probe,persistence,frequency
code,8,1,16,0.5426356589147286,0.5321642910727682,0.7075831457864467
code,8,2,16,0.4177088544272136,0.4674524762381191,0.7075725362681341
code,8,4,16,0.29598348348348347,0.4376564064064064,0.7075825825825826
code,8,8,16,0.19360596192384769,0.43295966933867736,0.7076340180360722
