layer,coverage,experts_needed,frac_of_experts,domain
11,0.99,98,0.765625,general
12,0.9,56,0.4375,general
12,0.95,68,0.53125,general
12,0.99,94,0.734375,general
13,0.9,61,0.4765625,general
13,0.95,72,0.5625,general
13,0.99,89,0.6953125,general
14,0.9,59,0.4609375,general
14,0.95,72,0.5625,general
14,0.99,92,0.71875,general
15,0.9,54,0.421875,general
15,0.95,68,0.53125,general
15,0.99,94,0.734375,general
16,0.9,60,0.46875,general
16,0.95,70,0.546875,general
16,0.99,91,0.7109375,general
17,0.9,53,0.4140625,general
17,0.95,65,0.5078125,general
17,0.99,87,0.6796875,general
18,0.9,50,0.390625,general
18,0.95,63,0.4921875,general
18,0.99,91,0.7109375,general
19,0.9,49,0.3828125,general
19,0.95,63,0.4921875,general
19,0.99,88,0.6875,general
20,0.9,56,0.4375,general
20,0.95,70,0.546875,general
20,0.99,95,0.7421875,general
21,0.9,54,0.421875,general
21,0.95,68,0.53125,general
21,0.99,95,0.7421875,general
22,0.9,62,0.484375,general
22,0.95,74,0.578125,general
22,0.99,96,0.75,general
23,0.9,67,0.5234375,general
23,0.95,78,0.609375,general
23,0.99,97,0.7578125,general
24,0.9,57,0.4453125,general
24,0.95,70,0.546875,general
24,0.99,94,0.734375,general
25,0.9,62,0.484375,general
25,0.95,72,0.5625,general
25,0.99,89,0.6953125,general
26,0.9,59,0.4609375,general
26,0.95,73,0.5703125,general
26,0.99,92,0.71875,general
27,0.9,56,0.4375,general
27,0.95,69,0.5390625,general
27,0.99,91,0.7109375,general
28,0.9,60,0.46875,general
28,0.95,70,0.546875,general
28,0.99,91,0.7109375,general
29,0.9,54,0.421875,general
29,0.95,67,0.5234375,general
29,0.99,88,0.6875,general
30,0.9,49,0.3828125,general
30,0.95,62,0.484375,general
30,0.99,91,0.7109375,general
31,0.9,49,0.3828125,general
31,0.95,63,0.4921875,general
31,0.99,88,0.6875,general
32,0.9,60,0.46875,general
32,0.95,75,0.5859375,general
32,0.99,99,0.7734375,general
33,0.9,56,0.4375,general
33,0.95,70,0.546875,general
33,0.99,98,0.765625,general
34,0.9,63,0.4921875,general
34,0.95,75,0.5859375,general
34,0.99,96,0.75,general
35,0.9,65,0.5078125,general
35,0.95,76,0.59375,general
35,0.99,98,0.765625,general
36,0.9,58,0.453125,general
36,0.95,70,0.546875,general
36,0.99,94,0.734375,general
37,0.9,63,0.4921875,general
37,0.95,72,0.5625,general
37,0.99,90,0.703125,general
38,0.9,60,0.46875,general
